"alpha.water","p_rgh","p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
1,10963,10963,0,0,0,-8,0,0
1,10966,10966,0,0,0,-7.9,0,0
1,10966,10966,0,0,0,-7.9,0,1
1,10963,10963,0,0,0,-8,0,1
1,10977,10977,0,0,0,-7.8,0,0
1,10977,10977,0,0,0,-7.8,0,1
1,10994,10994,0,0,0,-7.7,0,0
1,10994,10994,0,0,0,-7.7,0,1
1,11018,11018,0,0,0,-7.6,0,0
1,11018,11018,0,0,0,-7.6,0,1
1,11049,11049,0,0,0,-7.5,0,0
1,11049,11049,0,0,0,-7.5,0,1
1,11086,11086,0,0,0,-7.4,0,0
1,11086,11086,0,0,0,-7.4,0,1
1,11128,11128,0,0,0,-7.3,0,0
1,11128,11128,0,0,0,-7.3,0,1
1,11175,11175,0,0,0,-7.2,0,0
1,11175,11175,0,0,0,-7.2,0,1
1,11227,11227,0,0,0,-7.1,0,0
1,11227,11227,0,0,0,-7.1,0,1
1,11282,11282,0,0,0,-7,0,0
1,11282,11282,0,0,0,-7,0,1
1,11341,11341,0,0,0,-6.9,0,0
1,11341,11341,0,0,0,-6.9,0,1
1,11401,11401,0,0,0,-6.8,0,0
1,11401,11401,0,0,0,-6.8,0,1
1,11463,11463,0,0,0,-6.7,0,0
1,11463,11463,0,0,0,-6.7,0,1
1,11524,11524,0,0,0,-6.6,0,0
1,11524,11524,0,0,0,-6.6,0,1
1,11584,11584,0,0,0,-6.5,0,0
1,11584,11584,0,0,0,-6.5,0,1
1,11641,11641,0,0,0,-6.4,0,0
1,11641,11641,0,0,0,-6.4,0,1
1,11694,11694,0,0,0,-6.3,0,0
1,11694,11694,0,0,0,-6.3,0,1
1,11741,11741,0,0,0,-6.2,0,0
1,11741,11741,0,0,0,-6.2,0,1
1,11781,11781,0,0,0,-6.1,0,0
1,11781,11781,0,0,0,-6.1,0,1
1,11811,11811,0,0,0,-6,0,0
1,11811,11811,0,0,0,-6,0,1
1,11829,11829,0,0,0,-5.9,0,0
1,11829,11829,0,0,0,-5.9,0,1
1,11833,11833,0,0,0,-5.8,0,0
1,11833,11833,0,0,0,-5.8,0,1
1,11820,11820,0,0,0,-5.7,0,0
1,11820,11820,0,0,0,-5.7,0,1
1,11789,11789,0,0,0,-5.6,0,0
1,11789,11789,0,0,0,-5.6,0,1
1,11735,11735,0,0,0,-5.5,0,0
1,11735,11735,0,0,0,-5.5,0,1
1,11655,11655,0,0,0,-5.4,0,0
1,11655,11655,0,0,0,-5.4,0,1
1,11546,11546,0,0,0,-5.3,0,0
1,11546,11546,0,0,0,-5.3,0,1
1,11404,11404,0,0,0,-5.2,0,0
1,11404,11404,0,0,0,-5.2,0,1
1,11224,11224,0,0,0,-5.1,0,0
1,11224,11224,0,0,0,-5.1,0,1
1,11002,11002,0,0,0,-5,0,0
1,11002,11002,0,0,0,-5,0,1
1,10731,10731,0,0,0,-4.9,0,0
1,10731,10731,0,0,0,-4.9,0,1
1,10406,10406,0,0,0,-4.8,0,0
1,10406,10406,0,0,0,-4.8,0,1
1,10019,10019,0,0,0,-4.7,0,0
1,10019,10019,0,0,0,-4.7,0,1
1,9560.4,9560.4,0,0,0,-4.6,0,0
1,9560.4,9560.4,0,0,0,-4.6,0,1
1,9019.5,9019.5,0,0,0,-4.5,0,0
1,9019.5,9019.5,0,0,0,-4.5,0,1
1,8383.9,8383.9,0,0,0,-4.4,0,0
1,8383.9,8383.9,0,0,0,-4.4,0,1
1,7634.4,7634.4,0,0,0,-4.3,0,0
1,7634.4,7634.4,0,0,0,-4.3,0,1
1,6743.3,6743.3,0,0,0,-4.2,0,0
1,6743.3,6743.3,0,0,0,-4.2,0,1
1,5709.3,5709.3,0,0,0,-4.1,0,0
1,5709.3,5709.3,0,0,0,-4.1,0,1
1,4467.1,4467.1,0,0,0,-4,0,0
1,4467.1,4467.1,0,0,0,-4,0,1
0.97587,2811.5,2811.5,0,0,0,-3.9,0,0
0.97587,2811.5,2811.5,0,0,0,-3.9,0,1
0.66329,1088.9,1088.9,0,0,0,-3.8,0,0
0.66329,1088.9,1088.9,0,0,0,-3.8,0,1
0.18982,179.35,179.35,0,0,0,-3.7,0,0
0.18982,179.35,179.35,0,0,0,-3.7,0,1
0.0026323,22.425,22.425,0,0,0,-3.6,0,0
0.0026323,22.425,22.425,0,0,0,-3.6,0,1
0.00025348,14.893,14.893,0,0,0,-3.5,0,0
0.00025348,14.893,14.893,0,0,0,-3.5,0,1
1.9884e-05,13.432,13.432,0,0,0,-3.4,0,0
1.9884e-05,13.432,13.432,0,0,0,-3.4,0,1
1.1816e-06,11.657,11.657,0,0,0,-3.3,0,0
1.1816e-06,11.657,11.657,0,0,0,-3.3,0,1
5.6072e-08,10.169,10.169,0,0,0,-3.2,0,0
5.6072e-08,10.169,10.169,0,0,0,-3.2,0,1
2.1718e-09,9.0622,9.0622,0,0,0,-3.1,0,0
2.1718e-09,9.0622,9.0622,0,0,0,-3.1,0,1
6.9719e-11,8.154,8.154,0,0,0,-3,0,0
6.9719e-11,8.154,8.154,0,0,0,-3,0,1
2.0443e-12,7.394,7.394,0,0,0,-2.9,0,0
2.0443e-12,7.394,7.394,0,0,0,-2.9,0,1
5.5183e-14,6.7507,6.7507,0,0,0,-2.8,0,0
5.5183e-14,6.7507,6.7507,0,0,0,-2.8,0,1
2.5885e-15,6.1978,6.1978,0,0,0,-2.7,0,0
2.5885e-15,6.1978,6.1978,0,0,0,-2.7,0,1
4.7609e-17,5.7172,5.7172,0,0,0,-2.6,0,0
4.7609e-17,5.7172,5.7172,0,0,0,-2.6,0,1
5.9508e-19,5.2952,5.2952,0,0,0,-2.5,0,0
5.9508e-19,5.2952,5.2952,0,0,0,-2.5,0,1
6.4106e-21,4.9216,4.9216,0,0,0,-2.4,0,0
6.4106e-21,4.9216,4.9216,0,0,0,-2.4,0,1
5.8156e-23,4.5885,4.5885,0,0,0,-2.3,0,0
5.8156e-23,4.5885,4.5885,0,0,0,-2.3,0,1
4.4074e-25,4.2896,4.2896,0,0,0,-2.2,0,0
4.4074e-25,4.2896,4.2896,0,0,0,-2.2,0,1
2.7728e-27,4.0199,4.0199,0,0,0,-2.1,0,0
2.7728e-27,4.0199,4.0199,0,0,0,-2.1,0,1
1.4368e-29,3.7753,3.7753,0,0,0,-2,0,0
1.4368e-29,3.7753,3.7753,0,0,0,-2,0,1
6.0654e-32,3.5526,3.5526,0,0,0,-1.9,0,0
6.0654e-32,3.5526,3.5526,0,0,0,-1.9,0,1
2.0569e-34,3.349,3.349,0,0,0,-1.8,0,0
2.0569e-34,3.349,3.349,0,0,0,-1.8,0,1
5.4988e-37,3.1621,3.1621,0,0,0,-1.7,0,0
5.4988e-37,3.1621,3.1621,0,0,0,-1.7,0,1
1.1314e-39,2.9899,2.9899,0,0,0,-1.6,0,0
1.1314e-39,2.9899,2.9899,0,0,0,-1.6,0,1
1.7292e-42,2.8309,2.8309,0,0,0,-1.5,0,0
1.7292e-42,2.8309,2.8309,0,0,0,-1.5,0,1
1.4013e-45,2.6836,2.6836,0,0,0,-1.4,0,0
1.4013e-45,2.6836,2.6836,0,0,0,-1.4,0,1
0,2.5467,2.5467,0,0,0,-1.3,0,0
0,2.5467,2.5467,0,0,0,-1.3,0,1
0,2.4193,2.4193,0,0,0,-1.2,0,0
0,2.4193,2.4193,0,0,0,-1.2,0,1
0,2.3007,2.3007,0,0,0,-1.1,0,0
0,2.3007,2.3007,0,0,0,-1.1,0,1
0,2.1898,2.1898,0,0,0,-1,0,0
0,2.1898,2.1898,0,0,0,-1,0,1
0,2.0855,2.0855,0,0,0,-0.9,0,0
0,2.0855,2.0855,0,0,0,-0.9,0,1
0,1.9876,1.9876,0,0,0,-0.8,0,0
0,1.9876,1.9876,0,0,0,-0.8,0,1
0,1.8955,1.8955,0,0,0,-0.7,0,0
0,1.8955,1.8955,0,0,0,-0.7,0,1
0,1.8087,1.8087,0,0,0,-0.6,0,0
0,1.8087,1.8087,0,0,0,-0.6,0,1
0,1.7268,1.7268,0,0,0,-0.5,0,0
0,1.7268,1.7268,0,0,0,-0.5,0,1
0,1.6496,1.6496,0,0,0,-0.4,0,0
0,1.6496,1.6496,0,0,0,-0.4,0,1
0,1.5765,1.5765,0,0,0,-0.3,0,0
0,1.5765,1.5765,0,0,0,-0.3,0,1
0,1.5074,1.5074,0,0,0,-0.2,0,0
0,1.5074,1.5074,0,0,0,-0.2,0,1
0,1.4418,1.4418,0,0,0,-0.1,0,0
0,1.4418,1.4418,0,0,0,-0.1,0,1
0,1.3796,1.3796,0,0,0,0,0,0
0,1.3796,1.3796,0,0,0,0,0,1
0,1.3205,1.3205,0,0,0,0.1,0,0
0,1.3205,1.3205,0,0,0,0.1,0,1
0,1.2644,1.2644,0,0,0,0.2,0,0
0,1.2644,1.2644,0,0,0,0.2,0,1
0,1.2109,1.2109,0,0,0,0.3,0,0
0,1.2109,1.2109,0,0,0,0.3,0,1
0,1.1601,1.1601,0,0,0,0.4,0,0
0,1.1601,1.1601,0,0,0,0.4,0,1
0,1.1117,1.1117,0,0,0,0.5,0,0
0,1.1117,1.1117,0,0,0,0.5,0,1
0,1.0655,1.0655,0,0,0,0.6,0,0
0,1.0655,1.0655,0,0,0,0.6,0,1
0,1.0214,1.0214,0,0,0,0.7,0,0
0,1.0214,1.0214,0,0,0,0.7,0,1
0,0.9794,0.9794,0,0,0,0.8,0,0
0,0.9794,0.9794,0,0,0,0.8,0,1
0,0.93926,0.93926,0,0,0,0.9,0,0
0,0.93926,0.93926,0,0,0,0.9,0,1
0,0.90091,0.90091,0,0,0,1,0,0
0,0.90091,0.90091,0,0,0,1,0,1
0,0.86427,0.86427,0,0,0,1.1,0,0
0,0.86427,0.86427,0,0,0,1.1,0,1
0,0.82924,0.82924,0,0,0,1.2,0,0
0,0.82924,0.82924,0,0,0,1.2,0,1
0,0.79572,0.79572,0,0,0,1.3,0,0
0,0.79572,0.79572,0,0,0,1.3,0,1
0,0.76364,0.76364,0,0,0,1.4,0,0
0,0.76364,0.76364,0,0,0,1.4,0,1
0,0.73293,0.73293,0,0,0,1.5,0,0
0,0.73293,0.73293,0,0,0,1.5,0,1
0,0.70352,0.70352,0,0,0,1.6,0,0
0,0.70352,0.70352,0,0,0,1.6,0,1
0,0.67533,0.67533,0,0,0,1.7,0,0
0,0.67533,0.67533,0,0,0,1.7,0,1
0,0.64831,0.64831,0,0,0,1.8,0,0
0,0.64831,0.64831,0,0,0,1.8,0,1
0,0.62239,0.62239,0,0,0,1.9,0,0
0,0.62239,0.62239,0,0,0,1.9,0,1
0,0.59752,0.59752,0,0,0,2,0,0
0,0.59752,0.59752,0,0,0,2,0,1
0,0.57365,0.57365,0,0,0,2.1,0,0
0,0.57365,0.57365,0,0,0,2.1,0,1
0,0.55073,0.55073,0,0,0,2.2,0,0
0,0.55073,0.55073,0,0,0,2.2,0,1
0,0.52872,0.52872,0,0,0,2.3,0,0
0,0.52872,0.52872,0,0,0,2.3,0,1
0,0.50755,0.50755,0,0,0,2.4,0,0
0,0.50755,0.50755,0,0,0,2.4,0,1
0,0.4872,0.4872,0,0,0,2.5,0,0
0,0.4872,0.4872,0,0,0,2.5,0,1
0,0.46762,0.46762,0,0,0,2.6,0,0
0,0.46762,0.46762,0,0,0,2.6,0,1
0,0.4488,0.4488,0,0,0,2.7,0,0
0,0.4488,0.4488,0,0,0,2.7,0,1
0,0.43072,0.43072,0,0,0,2.8,0,0
0,0.43072,0.43072,0,0,0,2.8,0,1
0,0.41335,0.41335,0,0,0,2.9,0,0
0,0.41335,0.41335,0,0,0,2.9,0,1
0,0.39668,0.39668,0,0,0,3,0,0
0,0.39668,0.39668,0,0,0,3,0,1
0,0.38068,0.38068,0,0,0,3.1,0,0
0,0.38068,0.38068,0,0,0,3.1,0,1
0,0.36531,0.36531,0,0,0,3.2,0,0
0,0.36531,0.36531,0,0,0,3.2,0,1
0,0.35055,0.35055,0,0,0,3.3,0,0
0,0.35055,0.35055,0,0,0,3.3,0,1
0,0.33638,0.33638,0,0,0,3.4,0,0
0,0.33638,0.33638,0,0,0,3.4,0,1
0,0.32276,0.32276,0,0,0,3.5,0,0
0,0.32276,0.32276,0,0,0,3.5,0,1
0,0.3097,0.3097,0,0,0,3.6,0,0
0,0.3097,0.3097,0,0,0,3.6,0,1
0,0.29719,0.29719,0,0,0,3.7,0,0
0,0.29719,0.29719,0,0,0,3.7,0,1
0,0.2852,0.2852,0,0,0,3.8,0,0
0,0.2852,0.2852,0,0,0,3.8,0,1
0,0.27375,0.27375,0,0,0,3.9,0,0
0,0.27375,0.27375,0,0,0,3.9,0,1
0,0.2628,0.2628,0,0,0,4,0,0
0,0.2628,0.2628,0,0,0,4,0,1
0,0.25236,0.25236,0,0,0,4.1,0,0
0,0.25236,0.25236,0,0,0,4.1,0,1
0,0.24239,0.24239,0,0,0,4.2,0,0
0,0.24239,0.24239,0,0,0,4.2,0,1
0,0.23289,0.23289,0,0,0,4.3,0,0
0,0.23289,0.23289,0,0,0,4.3,0,1
0,0.22383,0.22383,0,0,0,4.4,0,0
0,0.22383,0.22383,0,0,0,4.4,0,1
0,0.2152,0.2152,0,0,0,4.5,0,0
0,0.2152,0.2152,0,0,0,4.5,0,1
0,0.20699,0.20699,0,0,0,4.6,0,0
0,0.20699,0.20699,0,0,0,4.6,0,1
0,0.1992,0.1992,0,0,0,4.7,0,0
0,0.1992,0.1992,0,0,0,4.7,0,1
0,0.19182,0.19182,0,0,0,4.8,0,0
0,0.19182,0.19182,0,0,0,4.8,0,1
0,0.18485,0.18485,0,0,0,4.9,0,0
